,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
39538,6.173786103901937,6.1737861039019375,12.40741220815989,13.864072124578705,-6.173786104001936,7.272398392570047,3.87120101090789,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39564,7.91425227874244,7.914252278742441,8.507142855562737,11.210089144746773,-7.91425228044244,9.01286456741055,5.42934562895444,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39571,12.307328749602908,12.307328749602908,13.508550520556954,17.800390192943457,-12.307328750502908,13.405941038271015,9.362889770436468,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39624,5.817111159963204,5.817111159963204,7.150701457592526,9.112948025967532,-5.817111160763204,6.915723448631314,3.1780538303479458,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39658,13.782656733093194,13.782656733093194,16.51311034319164,21.472942753769964,-13.782656733493194,14.881269021761304,11.297750083305194,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39720,5.598421958998375,5.598421958998375,6.8416154764775925,8.894258825002705,-5.598421959198375,6.697034247666485,4.499809670330265,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39751,8.671115273688494,8.671115273688494,9.852615222162372,13.065564428360933,-8.671115273988493,9.769727562356604,6.591673732008658,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39820,11.733986850080116,11.733986850080116,13.198924338519117,17.227048293420662,-11.733986849380114,12.832599138748224,9.094929520464856,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39834,16.682359818418245,16.682359818418245,18.79589280888951,24.37264583909501,-16.682359818018245,17.780972107086356,14.197453168630243,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39923,6.99576615630485,6.99576615630485,7.803026643632217,10.29160302230918,-6.99576615680485,8.094378444972959,4.430816798843313,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39936,3.58351893845611,3.58351893845611,6.040254711277414,6.879355804460439,-3.5835189376561103,4.68213122712422,3.58351893845611,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39982,6.473890696352274,6.473890696352274,8.642944396721798,10.868339851024713,-6.473890695452274,7.572502985020384,3.58351893845611,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40096,18.579479803304128,18.579479803304125,21.84611326772757,28.466990401317112,-18.579479803804123,19.67809209197224,15.871429602201918,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40141,7.590852123688581,7.590852123688581,8.237479288613633,10.88668898969291,-7.590852123688581,8.68946441235669,5.105945473900581,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40165,6.4457198193855785,6.4457198193855785,8.738735461363474,10.840168974058017,-6.4457198191855785,7.544332108053688,6.4457198193855785,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40202,8.199738960630787,8.199738960630787,9.586033321750678,12.594188115303224,-8.199738960630786,9.298351249298896,6.8134445995108965,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40231,3.295836866004329,3.295836866004329,5.662960480135945,6.591673732008658,-3.295836866204329,4.394449154672439,2.19722457733622,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40298,12.153178069775649,12.153178069775649,14.607162809225064,18.744851801784307,-12.153178071075647,13.251790358443758,10.073736528095813,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40317,6.815639990074331,6.815639990074331,7.74500280351584,10.11147685607866,-6.815639991374331,7.914252278742441,4.330733340286331,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40320,11.70321519141336,11.70321519141336,13.321984431276343,17.196276634753907,-11.70321519051336,12.801827480081467,8.99516499031115,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40330,11.772208062900312,11.772208062900312,13.10720912963265,17.26526950624086,-11.772208062900312,12.87082035156842,9.0641578617981,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40652,7.89655270164304,7.89655270164304,10.807057720000902,13.38961414498359,-7.89655270214304,8.99516499031115,5.2574953720277815,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40663,8.725182494958771,8.725182494958771,11.279731577802515,14.218243938299317,-8.72518249605877,9.82379478362688,6.527957917622551,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40678,6.82219739062049,6.82219739062049,7.67786350067821,10.11803425662482,-6.82219739072049,7.9208096792886,5.030437921392435,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40693,5.886104031450156,5.886104031450156,7.207859871432475,9.181940897454483,-5.886104031350156,6.984716320118266,3.1780538303479458,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40718,7.515344571180437,7.515344571180436,9.181940897454483,11.909793725852875,-7.515344571080437,8.613956859848546,5.723585101952382,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40797,12.525979865276692,12.525979865276692,13.766908376125055,18.01904130861724,-12.525979863676692,13.624592153944802,11.139685504156802,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40844,7.534762657037538,7.534762657037538,8.201934351194222,10.830599523041869,-7.534762657437538,8.633374945705647,4.762173934797756,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
40886,6.931471805599453,6.931471805599452,7.834788107388194,10.227308671603785,-6.931471805599453,8.030084094267563,5.545177444479562,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41085,9.65194452670022,9.65194452670022,11.579836170252856,15.14500597004077,-9.65194452710022,10.750556815368329,7.860185057472165,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41122,7.612336837167746,7.612336837167746,8.294049640102028,10.908173703172077,-7.612336837267746,8.710949125835855,4.77912349311153,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41148,9.85219425814858,9.852194258148575,11.760785043234838,15.345255701489126,-9.852194259048575,10.950806546816688,7.549609165154532,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41155,14.948089396195655,14.948089396195655,16.34712520571738,21.53976312820432,-14.948089396095655,16.046701684863766,13.156329926967604,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41161,10.542917450590084,10.542917450590084,11.346540247474628,14.937366605262524,-10.542917449390083,11.641529739258194,7.65254569269392,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41164,5.950642552587727,5.950642552587727,8.150467911624004,10.345091707260163,-5.950642552387727,7.049254841255837,5.2574953720277815,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41176,8.13739583005665,8.13739583005665,10.07575877347658,12.531844984729087,-8.13739583085665,9.23600811872476,8.13739583005665,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41187,6.527957917622551,6.52795791762255,7.521859252201629,9.82379478362688,-6.52795791862255,7.626570206290661,4.330733340286331,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41337,7.686162303492906,7.686162303492906,8.32263709695394,10.981999169497234,-7.686162302892907,8.784774592161016,5.288267030694535,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41343,13.101344010180254,13.101344010180252,14.958560696062952,19.69301774218891,-13.101344009680254,14.199956298848363,10.393293809078044,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41374,6.416732282512326,6.416732282512326,7.426549072397304,9.712569148516655,-6.416732282812326,7.515344571180436,3.58351893845611,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41445,5.14166355650266,5.14166355650266,6.962243464266207,8.43750042250699,-5.14166355750266,6.24027584517077,2.19722457733622,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
41617,7.718685495198466,7.718685495198466,8.345692873253867,11.014522361202795,-7.718685494198466,8.817297783866575,5.010635294096256,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
